"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","222","Add to cart 3 products","","Tue Feb 04 17:10:02 BDT 2025","passed","Tue Feb 04 17:10:02 BDT 2025","","standard user try to visit website","",""
"","149","click on the shipping and checkout","","Tue Feb 04 17:10:02 BDT 2025","passed","Tue Feb 04 17:10:03 BDT 2025","","standard user try to visit website","",""
"","3094","verify the product price with total price","","Tue Feb 04 17:10:03 BDT 2025","passed","Tue Feb 04 17:10:06 BDT 2025","","standard user try to visit website","",""
"","5386","should login with valid username and valid password","","Tue Feb 04 17:10:14 BDT 2025","passed","Tue Feb 04 17:10:20 BDT 2025","","performance_glitch_user try to visit website","",""
"","658","click on the humbergar manu and logout the webstie","","Tue Feb 04 17:10:21 BDT 2025","passed","Tue Feb 04 17:10:22 BDT 2025","","performance_glitch_user try to visit website","",""
"","366","Enter the personal information","","Tue Feb 04 17:10:21 BDT 2025","passed","Tue Feb 04 17:10:21 BDT 2025","","performance_glitch_user try to visit website","",""
"","362","should login with valid username and valid password","","Tue Feb 04 17:10:02 BDT 2025","passed","Tue Feb 04 17:10:02 BDT 2025","","standard user try to visit website","",""
"","42","verify the product price with total price","","Tue Feb 04 17:10:21 BDT 2025","passed","Tue Feb 04 17:10:21 BDT 2025","","performance_glitch_user try to visit website","",""
"","755","click on the hamburger menu Reset App State","","Tue Feb 04 17:10:20 BDT 2025","passed","Tue Feb 04 17:10:20 BDT 2025","","performance_glitch_user try to visit website","",""
"","213","click on the hamburger menu Reset App State","","Tue Feb 04 17:10:02 BDT 2025","passed","Tue Feb 04 17:10:02 BDT 2025","","standard user try to visit website","",""
"","190","Filter the product Z to A and Add to cart one proudct","","Tue Feb 04 17:10:20 BDT 2025","passed","Tue Feb 04 17:10:21 BDT 2025","","performance_glitch_user try to visit website","",""
"","744","click on the humbergar manu and logout the webstie","","Tue Feb 04 17:10:06 BDT 2025","passed","Tue Feb 04 17:10:07 BDT 2025","","standard user try to visit website","",""
"","152","click on the shipping and checkout","","Tue Feb 04 17:10:21 BDT 2025","passed","Tue Feb 04 17:10:21 BDT 2025","","performance_glitch_user try to visit website","",""
"","79","finish the checkout","","Tue Feb 04 17:10:21 BDT 2025","passed","Tue Feb 04 17:10:21 BDT 2025","","performance_glitch_user try to visit website","",""
"","28","verify the error message","","Tue Feb 04 17:09:54 BDT 2025","passed","Tue Feb 04 17:09:54 BDT 2025","","Locked out user try to visit website","",""
"","24","Verify the products title","","Tue Feb 04 17:10:21 BDT 2025","passed","Tue Feb 04 17:10:21 BDT 2025","","performance_glitch_user try to visit website","",""
"","353","Enter the personal information","","Tue Feb 04 17:10:03 BDT 2025","passed","Tue Feb 04 17:10:03 BDT 2025","","standard user try to visit website","",""
"","363","should login with valid username and valid password","","Tue Feb 04 17:09:54 BDT 2025","passed","Tue Feb 04 17:09:54 BDT 2025","","Locked out user try to visit website","",""
"","124","finish the checkout","","Tue Feb 04 17:10:06 BDT 2025","passed","Tue Feb 04 17:10:06 BDT 2025","","standard user try to visit website","",""
"","56","Verify the products title","","Tue Feb 04 17:10:03 BDT 2025","passed","Tue Feb 04 17:10:03 BDT 2025","","standard user try to visit website","",""
